title,company,wage,location,sector,level
Photographer/ Graphic designer,И Эс Эм Олон Улсын Дунд Сургууль,Тохиролцоно,"Улаанбаатар хот, Баянзүрх дүүрэг","Дизайн, Энтертайнмент, Соёл урлаг",Мэргэжилтэн
Дулааны станцын Кип Автоматжуулалтын Зургийн Инженер,Ричвелл Инженеринг ХХК,"1,500,000 - 1,800,000 ₮","Улаанбаатар хот, Сүхбаатар дүүрэг","Үйлдвэрлэл, Дэд бүтэц",Мэргэжилтэн
Дулааны станцын Кип Автоматжуулалтын Зургийн Инженер,Ричвелл Инженеринг ХХК,"1,500,000 - 1,800,000 ₮","Улаанбаатар хот, Сүхбаатар дүүрэг","Үйлдвэрлэл, Дэд бүтэц",Мэргэжилтэн
БОРЛУУЛАЛТЫН АЛБАНЫ МЕНЕЖЕР,Мэжик Инженеринг Авто ХХК,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
Ахлах нягтлан бодогч / Төсөл хариуцсан,Монкон Констракшн ХХК,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Сүхбаатар дүүрэг","Банк, санхүү, нягтлан бодох бүртгэл",Мэргэжилтэн
"Нягтлан бодогч, системийн аналитик",1с-форус ХХК,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Баянгол дүүрэг","Мэдээлэл технологи, Харилцаа холбоо",Мэргэжилтэн
"Нягтлан бодогч, системийн аналитик",1с-форус ХХК,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Баянгол дүүрэг","Мэдээлэл технологи, Харилцаа холбоо",Мэргэжилтэн
Борлуулалт маркетингийн менежер /Номин Электроникс,НОМИН Трейдинг,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Маркетинг, PR, Менежмент",Мэргэжилтэн
Борлуулалт маркетингийн менежер /Номин Электроникс,НОМИН Трейдинг,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Маркетинг, PR, Менежмент",Мэргэжилтэн
Гадаад харилцааны туслах менежер,Сэрүүн Сервис,"1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг","Барилга, Үл хөдлөх хөрөнгө",Мэргэжилтэн
Гадаад харилцааны туслах менежер,Сэрүүн Сервис,"1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг","Барилга, Үл хөдлөх хөрөнгө",Мэргэжилтэн
ЗАСВАРЫН ТӨВИЙН МЕНЕЖЕР,Бэст Компьютерс Технологи ХХК,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг",Үйлчилгээ,Мэргэжилтэн
Борлуулалт Импортын менежер /Номин Электроникс/,НОМИН Трейдинг,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
ЗАСВАРЫН ТӨВИЙН МЕНЕЖЕР,Бэст Компьютерс Технологи ХХК,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг",Үйлчилгээ,Мэргэжилтэн
Борлуулалт Импортын менежер /Номин Электроникс/,НОМИН Трейдинг,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
Борлуулалт Импортын менежер /Номин Электроникс/,НОМИН Трейдинг,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
талбайн инженер /эрэгтэй/,Эй Би Өү интернэшнл ХХК,"3,000,000 - 4,000,000 ₮","80256262, 89088650","Барилга, Үл хөдлөх хөрөнгө",Мэргэжилтэн
талбайн инженер /эрэгтэй/,Эй Би Өү интернэшнл ХХК,"3,000,000 - 4,000,000 ₮","80256262, 89088650","Барилга, Үл хөдлөх хөрөнгө",Мэргэжилтэн
Хүний Нөөцийн Менежер,Эй Би Өү интернэшнл ХХК,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Сүхбаатар дүүрэг","Захиргаа, Хүний нөөц",Бүтэн цагийн
Борлуулалт Импортын менежер /Номин Стандарт/,НОМИН Трейдинг,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
Ахлах нягтлан бодогч / Төсөл хариуцсан,Монкон Констракшн ХХК,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Сүхбаатар дүүрэг","Банк, санхүү, нягтлан бодох бүртгэл",Мэргэжилтэн
Исгэлтийн оператор,"""АПУ"" Хувьцаат компани","1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Үйлдвэрлэл, Дэд бүтэц",Мэргэжилтэн
Маркетингийн ахлах менежер,Санхүү Эдийн Засгийн Их Сургууль,"2,500,000 - 3,000,000 ₮ | Тохиролцоно","Улаанбаатар хот, Баянзүрх дүүрэг","Боловсрол, Шинжлэх ухаан",Дунд шатны удирдлага
Нягтлан бодогч,Жи Эс 25,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Банк, санхүү, нягтлан бодох бүртгэл",Мэргэжилтэн
Хятад хэлний орчуулагч,ЖИН ХӨ ФЭНГ ХХК,"3,000,000 - 4,000,000 ₮",Өмнөговь аймаг,Уул уурхай,Мэргэжилтэн
Онлайн худалдааны зөвлөх,Тэс Ком ХХК,"1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг","Худалдаа, Борлуулалт",Мэргэжилтэн
"Худалдааны төлөөлөгч/Mars brand, Snickers,Twix,Orb",SRT Group,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Мэргэжил хамаарахгүй
Худалдааны төлөөлөгч,Женераль Инсайтс ХХК,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Баянгол дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
Агуулахын нярав,"""АПУ"" Хувьцаат компани","1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Банк, санхүү, нягтлан бодох бүртгэл",Мэргэжилтэн
Борлуулалтын менежер,Метро Экспресс ХХК,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
ЗАСВАРЫН ТӨВИЙН МЕНЕЖЕР,Бэст Компьютерс Технологи ХХК,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг",Үйлчилгээ,Мэргэжилтэн
Борлуулалт Импортын менежер /Номин Электроникс/,НОМИН Трейдинг,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
талбайн инженер /эрэгтэй/,Эй Би Өү интернэшнл ХХК,"3,000,000 - 4,000,000 ₮","80256262, 89088650","Барилга, Үл хөдлөх хөрөнгө",Мэргэжилтэн
Хүний Нөөцийн Менежер,Эй Би Өү интернэшнл ХХК,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Сүхбаатар дүүрэг","Захиргаа, Хүний нөөц",Бүтэн цагийн
Борлуулалт Импортын менежер /Номин Стандарт/,НОМИН Трейдинг,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Худалдаа, Борлуулалт",Дунд шатны удирдлага
Савлагааны ажилтан,Бамбууш ХХК,"1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Үйлдвэрлэл, Дэд бүтэц",Дунд шатны удирдлага
Агуулахын нярав (5 шар агуулах),НОМИН Трейдинг,"1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Сонгинохайрхан дүүрэг","Банк, санхүү, нягтлан бодох бүртгэл",Мэргэжилтэн
Гагнуурчин /УБ хот/,Маррий Майнинг Сервисес ХХК,"3,000,000 - 4,000,000 ₮ | Тохиролцоно","Улаанбаатар хот, Чингэлтэй дүүрэг",Уул уурхай,Бүтэн цагийн
Тооцооны нягтлан бодогч /Номин Электроникс/,НОМИН Трейдинг,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Банк, санхүү, нягтлан бодох бүртгэл",Мэргэжилтэн
Нарийн боовчин /Дамжлагын ажилтан/,Бамбууш ХХК,"1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Ресторан, Хоол үйлдвэрлэл",Мэргэжил хамаарахгүй
Сошиал хөгжүүлэгч,Глобал Бридж Групп,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Баянгол дүүрэг","Маркетинг, PR, Менежмент",Мэргэжилтэн
Эмнэлгийн тоног төхөөрөмжийн инженер,"""Эн Ар Би"" ХХК","2,100,000 - 2,500,000 ₮ | Тохиролцоно","Улаанбаатар хот, Сүхбаатар дүүрэг","Эмнэлэг, Эм хангамж",Мэргэжилтэн
Үйлдвэрлэлийн албаны инженер,Маррий Майнинг Сервисес ХХК,"2,500,000 - 3,000,000 ₮ | Тохиролцоно","Улаанбаатар хот, Чингэлтэй дүүрэг",Уул уурхай,Мэргэжилтэн
"Борлуулалт, маркетингийн менежер","""Эн Ар Би"" ХХК","2,100,000 - 2,500,000 ₮","99020644, 77448007","Эмнэлэг, Эм хангамж",Мэргэжилтэн
Барилга угсралтын инженер ажилд авна.,ӨВӨР ХАДАГТАЙ ХХК,"3,000,000 - 4,000,000 ₮",94020149,"Барилга, Үл хөдлөх хөрөнгө",Дунд шатны удирдлага
Урьдчилан сэргийлэх төвийн дарга,Нура Монгол,"5,000,000 - 6,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Эмнэлэг, Эм хангамж",Дунд шатны удирдлага
Барилга угсралтын инженер ажилд авна.,ӨВӨР ХАДАГТАЙ ХХК,"3,000,000 - 4,000,000 ₮",94020149,"Барилга, Үл хөдлөх хөрөнгө",Дунд шатны удирдлага
Урьдчилан сэргийлэх төвийн дарга,Нура Монгол,"5,000,000 - 6,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Эмнэлэг, Эм хангамж",Дунд шатны удирдлага
БАРИЛГЫН ИНЖЕНЕР,Эко констракшн ХХК,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Хан-Уул дүүрэг","Барилга, Үл хөдлөх хөрөнгө",Мэргэжилтэн
Дэлгүүрийн туслах ажилтан,Premier Tailor LLC,"10,000 ₮ /цагийн/",88815547,,
